"Scenario","rep","estimator","theta","se","ci_l","ci_u","n_np","n_p","n_union","error","phi_1","phi_se_1","phi_ci_l_1","phi_ci_u_1","phi_2","phi_se_2","phi_ci_l_2","phi_ci_u_2","phi_3","phi_se_3","phi_ci_l_3","phi_ci_u_3","phi_4","phi_se_4","phi_ci_l_4","phi_ci_u_4"
"S2",1,"P",-0.040402428767645,0.0754361429884692,-0.188254552157658,0.107449694622368,1508,248,1730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S2",1,"NP",-0.390548719784171,0.0341733443384693,-0.457527243918857,-0.323570195649486,1508,248,1730,NA,-1.65146027705847,NA,NA,NA,-1.97978173499637,NA,NA,NA,1.33261867752274,NA,NA,NA,NA,NA,NA,NA
"S2",1,"NP_P",0.0374836776296653,0.0277098635564022,-0.0168266569574019,0.0917940122167325,1508,248,1730,NA,-2.05592358891264,NA,NA,NA,-0.237990865742737,NA,NA,NA,-0.933040820214804,NA,NA,NA,NA,NA,NA,NA
"S2",1,"Eff_S",-0.00580030096293642,0.038561875109418,-0.0813801873537272,0.0697795854278544,1508,248,1730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S2",1,"Eff_P",0.0154194188047947,0.0433331736051244,-0.0695120407970707,0.10035087840666,1508,248,1730,NA,-2.00481502719687,NA,NA,NA,-0.573901371144775,NA,NA,NA,-0.526031982684069,NA,NA,NA,NA,NA,NA,NA
"S2",1,"Eff1_union",0.00188412142797306,0.049934854314488,-0.095986394601678,0.0997546374576241,1508,248,1730,NA,-1.97206457717181,0.0909104806800692,-2.15024584512197,-1.79388330922165,-0.590286275908556,0.157902168960181,-0.899768840151269,-0.280803711665843,-0.536079560165349,0.174270625136567,-0.8776437089963,-0.194515411334398,NA,NA,NA,NA
"S2",1,"Eff2_union",0.000481974059504418,0.0501102195808601,-0.0977322515763751,0.098696199695384,1508,248,1730,NA,-1.99509602188843,0.0889329877805392,-2.16940147497582,-1.82079056880103,-0.603233031679646,0.157569165882021,-0.912062921882425,-0.294403141476867,-0.513642711475142,0.169883893603021,-0.846609024490497,-0.180676398459786,NA,NA,NA,NA
"S2",1,"Eff1",-0.0317746117945792,0.027929900631048,-0.0865162111232158,0.0229669875340573,1508,248,1730,NA,-2.06888775172955,0.0370899101795932,-2.14158263987137,-1.99619286358772,-0.587021069820064,0.127521400274375,-0.836958421615954,-0.337083718024173,-0.490510084946317,0.162385058168626,-0.808778950584265,-0.172241219308369,NA,NA,NA,NA
"S2",1,"Eff2",-0.0293791066157782,0.0287362760855746,-0.0857011727933041,0.0269429595617477,1508,248,1730,NA,-2.07028416822799,0.0365168936205706,-2.14185596455159,-1.99871237190439,-0.575805750472834,0.130568278908785,-0.831714874657433,-0.319896626288234,-0.503686678650955,0.167049221557587,-0.831097136549276,-0.176276220752633,NA,NA,NA,NA
"S2",2,"P",-0.189051570750242,0.103705330387232,-0.392310283314044,0.0142071418135606,1433,254,1657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
