"Scenario","rep","estimator","theta","se","ci_l","ci_u","n_np","n_p","n_union","error","phi_1","phi_se_1","phi_ci_l_1","phi_ci_u_1","phi_2","phi_se_2","phi_ci_l_2","phi_ci_u_2","phi_3","phi_se_3","phi_ci_l_3","phi_ci_u_3","phi_4","phi_se_4","phi_ci_l_4","phi_ci_u_4"
"S1",1,"P",-0.082994263942665,0.0938205911764548,-0.266879243656773,0.100890715771443,1494,248,1722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1",1,"NP",-0.0650512213542731,0.0311337961804189,-0.126072340569905,-0.00403010213864128,1494,248,1722,NA,-2.10134612542402,NA,NA,NA,-0.48915246522939,NA,NA,NA,-0.61952457643825,NA,NA,NA,NA,NA,NA,NA
"S1",1,"NP_P",0.000362570117741,0.0275035225821355,-0.0535433435912287,0.0542684838267107,1494,248,1722,NA,-2.08882862376801,NA,NA,NA,-0.405315552152988,NA,NA,NA,-0.758156724800962,NA,NA,NA,NA,NA,NA,NA
"S1",1,"Eff_S",-0.0470712901612199,0.0376471272793367,-0.120858303750115,0.0267157234276753,1494,248,1722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1",1,"Eff_P",-0.0782314082081525,0.030928824054286,-0.138850789438729,-0.0176120269775759,1494,248,1722,NA,-2.09943731240693,NA,NA,NA,-0.442126004283603,NA,NA,NA,-0.620351873004712,NA,NA,NA,NA,NA,NA,NA
"S1",1,"Eff1_union",-0.0550815435998344,0.0609636184024426,-0.174568040035865,0.0644049528361962,1494,248,1722,NA,-2.04711846787694,0.0905420353910583,-2.22457759633036,-1.86965933942351,-0.506079172425703,0.0860290180110059,-0.674692949352622,-0.337465395498784,-0.650070952954363,0.101697297994149,-0.849393994347932,-0.450747911560793,NA,NA,NA,NA
"S1",1,"Eff2_union",-0.0567203801863521,0.0610313566576487,-0.176339641162962,0.0628988807902582,1494,248,1722,NA,-2.08493952239446,0.0869876318279206,-2.25543214787761,-1.9144468969113,-0.467567943246407,0.0833376937370245,-0.630906821525604,-0.30422906496721,-0.627625014932852,0.0993686168658872,-0.82238392518355,-0.432866104682154,NA,NA,NA,NA
"S1",1,"Eff1",0.00513445436946195,0.0259523813969277,-0.0457312784815637,0.0560001872204876,1494,248,1722,NA,-2.09847757484278,0.0379312006578863,-2.1728213620226,-2.02413378766296,-0.458454408430533,0.0429859425668365,-0.54270530770304,-0.374203509158027,-0.722721232349761,0.0581944966185434,-0.836780349820544,-0.608662114878978,NA,NA,NA,NA
"S1",1,"Eff2",0.0109415204400843,0.0234471516252437,-0.0350140522854431,0.0568970931656118,1494,248,1722,NA,-2.09824400470369,0.0376515940066817,-2.17203977291731,-2.02444823649007,-0.456384005081371,0.0429695619996751,-0.540602799032195,-0.372165211130547,-0.735591721643704,0.0541195189697267,-0.841664029685,-0.629519413602407,NA,NA,NA,NA
"S1",2,"P",-0.201317054597123,0.132330918878523,-0.46068088964012,0.0580467804458742,1419,254,1645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1",2,"NP",-0.0262508413554091,0.0348147071533693,-0.0944864135083218,0.0419847307975037,1419,254,1645,NA,-2.19714090947797,NA,NA,NA,-0.531004902126575,NA,NA,NA,-0.690483906092107,NA,NA,NA,NA,NA,NA,NA
"S1",2,"NP_P",0.00949781273753124,0.0297037317700225,-0.048720431738151,0.0677160572132135,1419,254,1645,NA,-2.18515222168204,NA,NA,NA,-0.517118138477567,NA,NA,NA,-0.734196327439711,NA,NA,NA,NA,NA,NA,NA
"S1",2,"Eff_S",-0.0519465826046804,0.0457989168821215,-0.141710810224582,0.0378176450152212,1419,254,1645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1",2,"Eff_P",-0.148746799264671,0.035433455676413,-0.218195096238237,-0.0792985022911052,1419,254,1645,NA,-2.23393088454034,NA,NA,NA,-0.403694706864354,NA,NA,NA,-0.646073300253607,NA,NA,NA,NA,NA,NA,NA
"S1",2,"Eff1_union",-0.0663072206921908,0.0761317063903858,-0.215522623298925,0.0829081819145432,1419,254,1645,NA,-2.2211340884884,0.0859135823579536,-2.3895216156928,-2.05274656128399,-0.424707099850387,0.088102127373285,-0.597384096463386,-0.252030103237388,-0.65401868382273,0.107166791090776,-0.864061734699378,-0.443975632946083,NA,NA,NA,NA
"S1",2,"Eff2_union",-0.0663258460301788,0.0759565078487085,-0.215197865805081,0.0825461737447237,1419,254,1645,NA,-2.22681980883403,0.0855811663378353,-2.39455581261112,-2.05908380505694,-0.421644156341361,0.0870008300285077,-0.592162649822327,-0.251125662860395,-0.647506296906653,0.107554294236813,-0.858308839993431,-0.436703753819875,NA,NA,NA,NA
"S1",2,"Eff1",0.0140862907128121,0.0259191761161162,-0.0367143609837263,0.0648869424093506,1419,254,1645,NA,-2.18597939905805,0.039127445776494,-2.26266778358702,-2.10929101452908,-0.481551547213965,0.0713037482250438,-0.621304325697763,-0.341798768730167,-0.740100120702068,0.062839824037082,-0.863263912609583,-0.616936328794553,NA,NA,NA,NA
"S1",2,"Eff2",0.00675876906435507,0.0285133024029274,-0.049126276725682,0.0626438148543922,1419,254,1645,NA,-2.18398192457535,0.0390013065714592,-2.26042308080541,-2.10754076834528,-0.402513180346853,0.101104639796952,-0.600674633018773,-0.204351727674933,-0.782222803518386,0.0629128816232632,-0.905529785663614,-0.658915821373159,NA,NA,NA,NA
"S1",3,"P",-0.0613790133039722,0.0990418861036963,-0.255497543028135,0.132739516420191,1490,217,1682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1",3,"NP",0.0269273452971703,0.0363856664943228,-0.0443872505851882,0.0982419411795288,1490,217,1682,NA,-2.13302093693687,NA,NA,NA,-0.452874386946692,NA,NA,NA,-0.801636137397663,NA,NA,NA,NA,NA,NA,NA
"S1",3,"NP_P",-0.0496555396057236,0.0257753829712806,-0.100174361917161,0.000863282705713467,1490,217,1682,NA,-2.19189187189941,NA,NA,NA,-0.57949951638759,NA,NA,NA,-0.654969514074367,NA,NA,NA,NA,NA,NA,NA
"S1",3,"Eff_S",0.0202502229521786,0.0372943153421353,-0.0528452919464861,0.0933457378508434,1490,217,1682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1",3,"Eff_P",0.03330163699593,0.0269109050855813,-0.0194427677631852,0.0860460417550452,1490,217,1682,NA,-1.95658195847328,NA,NA,NA,-0.514123641120263,NA,NA,NA,-0.779334010922466,NA,NA,NA,NA,NA,NA,NA
"S1",3,"Eff1_union",-0.00315597915799972,0.0492407884124925,-0.0996661510168422,0.0933541927008427,1490,217,1682,NA,-1.94359113167098,0.0987358672747465,-2.13710987551181,-1.75007238783015,-0.540513925680267,0.111339871657576,-0.758736064172427,-0.322291787188107,-0.786084996014657,0.107522479077554,-0.996825182535124,-0.57534480949419,NA,NA,NA,NA
"S1",3,"Eff2_union",0.00101773491246898,0.0479645154610628,-0.0929909879271286,0.0950264577520666,1490,217,1682,NA,-1.93779695927801,0.0979375788236722,-2.12975108650546,-1.74584283205056,-0.544198800575618,0.110423889365146,-0.76062564676414,-0.327771954387095,-0.793952296264578,0.106286938070148,-1.00227086690911,-0.585633725620048,NA,NA,NA,NA
"S1",3,"Eff1",-0.0177561995842505,0.0197048564659164,-0.0563770085779779,0.0208646094094768,1490,217,1682,NA,-2.15304115434262,0.0399147680831992,-2.23127266223696,-2.07480964644828,-0.528569283937451,0.0556288622590983,-0.637599850466223,-0.419538717408679,-0.73184520040966,0.0541264351957565,-0.837931064004884,-0.625759336814436,NA,NA,NA,NA
"S1",3,"Eff2",-0.0227183135933004,0.0207852041711317,-0.0634565651800302,0.0180199379934294,1490,217,1682,NA,-2.15285334551451,0.0397155791690761,-2.23069445031105,-2.07501224071797,-0.503789941415819,0.0508264919095163,-0.603408035018987,-0.40417184781265,-0.734929007047778,0.0546699010381759,-0.842080044120972,-0.627777969974585,NA,NA,NA,NA
"S1",4,"P",0.0714020619420641,0.0728030373456788,-0.0712892692205909,0.214093393104719,1472,232,1688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1",4,"NP",0.188423354452095,0.065037645579029,0.0609519114779179,0.315894797426273,1472,232,1688,NA,-2.07581260911533,NA,NA,NA,-0.234810139631599,NA,NA,NA,-1.1248172717269,NA,NA,NA,NA,NA,NA,NA
"S1",4,"NP_P",-0.0338303918901098,0.0273249162100571,-0.0873862435423964,0.0197254597621768,1472,232,1688,NA,-2.16451331776634,NA,NA,NA,-0.43111283853882,NA,NA,NA,-0.767272087653058,NA,NA,NA,NA,NA,NA,NA
"S1",4,"Eff_S",0.00501191051756416,0.0451800493557337,-0.0835393590394159,0.0935631800745443,1472,232,1688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1",4,"Eff_P",0.0924155717558821,0.0296337843937472,0.0343344216185125,0.150496721893252,1472,232,1688,NA,-2.01941127925857,NA,NA,NA,-0.588599040437988,NA,NA,NA,-0.796094105714037,NA,NA,NA,NA,NA,NA,NA
