"Scenario","rep","estimator","theta","se","ci_l","ci_u","n_np","n_p","n_union","error","phi_1","phi_se_1","phi_ci_l_1","phi_ci_u_1","phi_2","phi_se_2","phi_ci_l_2","phi_ci_u_2","phi_3","phi_se_3","phi_ci_l_3","phi_ci_u_3","phi_4","phi_se_4","phi_ci_l_4","phi_ci_u_4"
"S4",2,"NP",-0.0270562651777416,0.0347726887319477,-0.0952094827379807,0.0410969523824976,1419,254,1673,NA,-2.20064932218043,NA,NA,NA,-0.530569113119805,NA,NA,NA,-0.68891401578737,NA,NA,NA,NA,NA,NA,NA
"S4",2,"NP_P",0.00663773908693081,0.0293509333271262,-0.0508890331468729,0.0641645113207345,1419,254,1673,NA,-2.15361011990788,NA,NA,NA,-0.507104453852943,NA,NA,NA,-0.724965442168441,NA,NA,NA,NA,NA,NA,NA
"S4",2,"Eff_S",-0.0934504865883933,0.0527118869496809,-0.196763886566915,0.00986291339012821,1419,254,1673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",2,"Eff_P",-0.397012306260656,0.0403586986858976,-0.47611390214792,-0.317910710373393,1419,254,1673,NA,-2.39737338910822,NA,NA,NA,-0.332709917173373,NA,NA,NA,-0.541131063504518,NA,NA,NA,NA,NA,NA,NA
"S4",2,"Eff1_union",-0.183370413032579,0.093813833889226,-0.367242148707085,0.000501322641926867,1419,254,1673,NA,-2.39159043750318,0.0780873056322174,-2.54463874419209,-2.23854213081426,-0.349772856333144,0.0793258732354682,-0.505248710916851,-0.194297001749436,-0.54385190162703,0.100816534925995,-0.741448679128105,-0.346255124125955,NA,NA,NA,NA
"S4",2,"Eff2_union",-0.179657694832167,0.0930988896407847,-0.362128165528774,0.00281277586443973,1419,254,1673,NA,-2.38730471615505,0.0781120904527329,-2.54040160019954,-2.23420783211056,-0.351626606112151,0.0790865361396722,-0.506633368607934,-0.196619843616368,-0.545506795741991,0.100519969707171,-0.742522316095102,-0.348491275388879,NA,NA,NA,NA
"S4",2,"Eff1",0.00472473903849336,0.0256656316929035,-0.0455789747200672,0.0550284527970539,1419,254,1673,NA,-2.1712126451985,0.037846251823398,-2.24538993572219,-2.0970353546748,-0.51264028966051,0.0923308044455868,-0.693605341037471,-0.33167523828355,-0.69603718868572,0.0574760462172242,-0.808688169245239,-0.583386208126201,NA,NA,NA,NA
"S4",2,"Eff2",0.0237293088120954,0.0259380789482278,-0.0271083917545877,0.0745670093787785,1419,254,1673,NA,-2.18541446998758,0.0383454453697905,-2.26057016188351,-2.11025877809164,-0.441077404081791,0.0673886544969895,-0.573156739862503,-0.308998068301078,-0.779495201590314,0.0610215107640772,-0.899095164970128,-0.659895238210499,NA,NA,NA,NA
"S4",3,"P",-0.0612259484329369,0.098794891268327,-0.254860377175408,0.132408480309535,1490,217,1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",3,"NP",0.0245801875384865,0.0362687941133539,-0.0465053426863854,0.0956657177633584,1490,217,1707,NA,-2.13673399742623,NA,NA,NA,-0.453107441633658,NA,NA,NA,-0.797351564171947,NA,NA,NA,NA,NA,NA,NA
