"Scenario","rep","estimator","theta","se","ci_l","ci_u","n_np","n_p","n_union","error","phi_1","phi_se_1","phi_ci_l_1","phi_ci_u_1","phi_2","phi_se_2","phi_ci_l_2","phi_ci_u_2","phi_3","phi_se_3","phi_ci_l_3","phi_ci_u_3","phi_4","phi_se_4","phi_ci_l_4","phi_ci_u_4"
"S3",1,"P",-0.0251254998177721,0.0740755513455631,-0.170310912590023,0.120059912954479,1597,248,1809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S3",1,"NP",-0.160222645683795,0.0313022996708493,-0.22157402567194,-0.0988712656956502,1597,248,1809,NA,-1.67281948443925,NA,NA,NA,-0.665839417373634,NA,NA,NA,0.272016335880055,NA,NA,NA,1.05732400648219,NA,NA,NA
"S3",1,"NP_P",NA,NA,NA,NA,1597,248,1809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S3",1,"Eff_S",-0.0119242668050866,0.0478018283331401,-0.105614128733208,0.0817655951230344,1597,248,1809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S3",1,"Eff_P",0.0653507968812193,0.0387316418284747,-0.0105618261646963,0.141263419927135,1597,248,1809,NA,-1.7055397144606,NA,NA,NA,-0.207697179953426,NA,NA,NA,0.132209115880767,NA,NA,NA,0.40236558482951,NA,NA,NA
"S3",1,"Eff1_union",0.0443696502826914,0.0536350046630347,-0.0607530271674944,0.149492327732877,1597,248,1809,NA,-1.68501907048648,0.113247969530554,-1.90698101208865,-1.4630571288843,-0.260387761901329,0.133991504944638,-0.523006285827141,0.00223076202448275,0.141008721261282,0.153620185628619,-0.160081309869168,0.442098752391733,0.416636181912065,0.149670563831905,0.123287267255727,0.709985096568402
"S3",1,"Eff2_union",0.0396377072883789,0.0547468769689402,-0.0676641998367892,0.146939614413547,1597,248,1809,NA,-1.69335114403253,0.113208881746346,-1.91523647498542,-1.47146581307964,-0.256229594721728,0.13348162731593,-0.517848776858748,0.00538958741529211,0.140472381565791,0.153640646589197,-0.160657752310482,0.441602515442064,0.415964226269069,0.14928332036586,0.123374294859429,0.708554157678709
"S3",1,"Eff1",-0.0487058248366213,0.0507624517631069,-0.148198402059263,0.05078675238602,1597,248,1809,NA,-1.72784378176506,0.0761107745159942,-1.87701815865185,-1.57866940487826,-0.174922434364299,0.237503157509906,-0.640420069298258,0.290575200569659,0.129031619647145,0.112087231738232,-0.0906553176865837,0.348718556980875,0.46656424080817,0.297101664869049,-0.115744322082055,1.04887280369839
"S3",1,"Eff2",-0.0488376775367664,0.0506379045059356,-0.148086146620979,0.050410791547446,1597,248,1809,NA,-1.7339627843879,0.0749425801358372,-1.88084754236265,-1.58707802641315,-0.172676402545956,0.234947636760092,-0.633165308848536,0.287812503756623,0.13126016834341,0.109581940193274,-0.0835164877914283,0.346036824478248,0.459737252005383,0.293347392579757,-0.115213072409673,1.03468757642044
"S3",2,"P",-0.181795756732363,0.103365389141186,-0.384388196697054,0.0207966832323288,1519,254,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S3",2,"NP",-0.426808875808521,0.0536217917676568,-0.531905656459634,-0.321712095157407,1519,254,1731,NA,-1.58777320357722,NA,NA,NA,-1.65483153717703,NA,NA,NA,0.868916791566048,NA,NA,NA,2.35697584409873,NA,NA,NA
"S3",2,"NP_P",NA,NA,NA,NA,1519,254,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S3",2,"Eff_S",-0.0502343680266997,0.0496463515288816,-0.147539428987123,0.0470706929337233,1519,254,1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S3",2,"Eff_P",-0.171460836745143,0.0459770879729288,-0.261574273286113,-0.0813474002041731,1519,254,1731,NA,-1.77340539497724,NA,NA,NA,-0.0141876513932153,NA,NA,NA,0.00501351640760792,NA,NA,NA,0.343848866024314,NA,NA,NA
"S3",2,"Eff1_union",-0.0711233050790446,0.0716095574292024,-0.211475458589134,0.0692288484310447,1519,254,1731,NA,-1.75458793511017,0.11361858931337,-1.97727627813862,-1.53189959208172,-0.0343181588944972,0.128695324245975,-0.286556359395313,0.217920041606319,-0.00408387961110457,0.161657429565661,-0.32092661939312,0.312758860170911,0.33730312253869,0.149918467261334,0.0434683260890286,0.631137918988352
"S3",2,"Eff2_union",-0.0634699418017649,0.0705762837021006,-0.201796916020563,0.0748570324170335,1519,254,1731,NA,-1.76037714858225,0.112735205924971,-1.9813340919849,-1.53942020517961,-0.0676173171442168,0.127617393890819,-0.317742812971085,0.182508178682651,0.00683200964762998,0.160570565242489,-0.307880515204887,0.321544534500147,0.356865177359308,0.148968798477701,0.0648916975228093,0.648838657195806
"S3",2,"Eff1",-0.0362459637967486,0.055757885743447,-0.145529411708004,0.0730374841145068,1519,254,1731,NA,-1.77273867018437,0.0765587925283935,-1.9227911462399,-1.62268619412885,-0.165555512719468,0.230574997744494,-0.617474204034079,0.286363178595144,0.0822875376953631,0.111934113898481,-0.137099294187063,0.301674369577789,0.429363289116154,0.292074626669814,-0.143092459954664,1.00181903818697
